iter	Passed	Remaining
829	49182	10073
830	49241	10014
831	49306	9956
832	49367	9897
833	49427	9838
834	49487	9779
835	49541	9718
836	49603	9659
837	49665	9601
838	49722	9541
839	49780	9481
840	49837	9422
841	49900	9363
842	49959	9304
843	50017	9244
844	50082	9186
845	50136	9126
846	50196	9067
847	50250	9007
848	50314	8948
849	50370	8888
850	50429	8829
851	50490	8770
852	50546	8710
853	50605	8651
854	50662	8591
855	50715	8531
856	50765	8470
857	50823	8411
858	50885	8352
859	50944	8293
860	51011	8235
861	51075	8176
862	51134	8117
863	51197	8058
864	51254	7999
865	51306	7938
866	51357	7878
867	51415	7818
868	51467	7758
869	51523	7698
870	51578	7639
871	51631	7578
872	51685	7518
873	51750	7460
874	51813	7401
875	51877	7343
876	51936	7284
877	51998	7225
878	52061	7166
879	52119	7107
880	52174	7047
881	52238	6988
882	52296	6929
883	52349	6869
884	52413	6810
885	52476	6752
886	52533	6692
887	52587	6632
888	52643	6573
889	52709	6514
890	52771	6455
891	52830	6396
892	52886	6336
893	52948	6278
894	53008	6218
895	53066	6159
896	53125	6100
897	53183	6040
898	53243	5981
899	53301	5922
900	53357	5862
901	53417	5803
902	53475	5744
903	53535	5685
904	53591	5625
905	53654	5566
906	53713	5507
907	53771	5448
908	53828	5388
909	53883	5329
910	53933	5268
911	53987	5209
912	54042	5149
913	54096	5090
914	54154	5030
915	54215	4971
916	54274	4912
917	54332	4853
918	54395	4794
919	54455	4735
920	54511	4675
921	54575	4617
922	54641	4558
923	54704	4499
924	54761	4440
925	54821	4380
926	54875	4321
927	54930	4261
928	54990	4202
929	55056	4144
930	55121	4085
931	55173	4025
932	55234	3966
933	55297	3907
934	55354	3848
935	55407	3788
936	55465	3729
937	55529	3670
938	55587	3611
939	55644	3551
940	55707	3492
941	55770	3433
942	55826	3374
943	55886	3315
944	55946	3256
945	56011	3197
946	56071	3138
947	56124	3078
948	56183	3019
949	56249	2960
950	56304	2901
951	56361	2841
952	56420	2782
953	56480	2723
954	56541	2664
955	56593	2604
956	56657	2545
957	56721	2486
958	56779	2427
959	56839	2368
960	56897	2309
961	56961	2250
962	57026	2191
963	57087	2131
964	57141	2072
965	57207	2013
966	57270	1954
967	57323	1894
968	57382	1835
969	57446	1776
970	57516	1717
971	57578	1658
972	57641	1599
973	57699	1540
974	57757	1480
975	57818	1421
976	57870	1362
977	57933	1303
978	57993	1243
979	58052	1184
980	58115	1125
981	58173	1066
982	58236	1007
983	58287	947
984	58346	888
985	58409	829
986	58465	770
987	58527	710
988	58583	651
989	58645	592
990	58710	533
991	58769	473
992	58826	414
993	58889	355
994	58947	296
995	59002	236
996	59061	177
997	59124	118
998	59184	59
999	59244	0
